Raw,StoreCode,StoreName
"0607 PEP POLOKWANE LIMPOPO MALL SHOP 47 LIMPOPO MALL, CORNER RISSIK STREET KERK STREET POLOKWANE POLOKWANE LIMPOPO",0607,PEP POLOKWANE
"0610 PEP WITBANK EMALA MALL SHOP A2 & AB EMALA MALL, CORNER BOTHA STREET EADIE STREET WITBANK WITBANK MPUMALANGA",0610,PEP WITBANK
"0614 PEP KURUMAN SHOPRITE CENTRE SHOP 1 SHOPRITE CENTRE, LIVINGSTONE ROAD KURUMAN KURUMAN NORTHERN CAPE",0614,PEP KURUMAN
"0618 PEP PTA QUEEN STREET SHOP 1 CENTRE PLACE, 275 CHURCH STREET PRETORIA PRETORIA GAUTENG",0618,PEP PTA
"0619 PEP MTUBATUBA MTUBA PLAZA SHOP 9 MTUBA PLAZA, C/O JOHN ROSS HIGHWAY ST LUCIA ROAD MTUBATUBA MTUBATUBA KWAZULU-NATAL",0619,PEP MTUBATUBA
"0620 PEP STEELPOORT SHOP 5 BLOCK 5 , RODIUM AVENUE EXTENSION 4 R555 STEELPOORT BURGERSFORT LIMPOPO",0620,PEP STEELPOORT
"0621 PEP PAARL SHOPRITE CENTRE SHOP 49-53 SHOPRITE CENTRE, CORNER VD LINGEN STREET BERG RIVER BOULEVARD PAARL PAARL WESTERN CAPE",0621,PEP PAARL
"0622 PEP RANDFONTEIN UNION STREET SHOP 1 DESMARE CENTRE , 19 UNION STREET RANDGATE RANDFONTEIN GAUTENG",0622,PEP RANDFONTEIN
"0633 PEP RANDFONTEIN STATION MALL SHOP 6 RANDFONTEIN STATION MALL , STATION STREET RANDFONTEIN RANDFONTEIN GAUTENG",0633,PEP RANDFONTEIN
"0636 PEP KLERKSDORP OLIVER TAMBO ST SHOP _ BUILDING _, 45 OLIVER TAMBO STREET KLERKSDORP KLERKSDORP NORTH WEST",0636,PEP KLERKSDORP
"0639 PEP GARANKUWA CENTRE SHOP 3 - 4 GARANKUWA CENTRE, LEAH MANGOPE HIGH WAY GA-RANKUWA GA-RANKUWA GAUTENG",0639,PEP GARANKUWA
"0641 PEP QUEENSTOWN CALDERWOOD STR SHOP 14 BUILDING, 14 CALDERWOOD STREET QUEENSTOWN QUEENSTOWN EASTERN CAPE",0641,PEP QUEENSTOWN
"0643 PEP DELMAS WILLOWBROOK SQUARE SHOP 30 WILLOWBROOK SQUARE, C/O SAMUEL ROAD VAN DER WALT STREET DELMAS DELMAS MPUMALANGA",0643,PEP DELMAS
"0648 PEP HARRISMITH SAREL CILLIERS 1 SAREL CILLIERS STREET, CNR SAREL CILLIERS STREET & BESTER STREET HARRISMITH HARRISMITH FREE STATE",0648,PEP HARRISMITH
"0654 PEP VREDEFORT SHOP, 3 ORANJE STREET VREDEFORT VREDEFORT FREE STATE",0654,PEP VREDEFORT
"0662 PEP ERMELO DE JAGER STREET SHOP 44-46, ERMELO MALL, DE JAGER STREET ERMELO ERMELO MPUMALANGA",0662,PEP ERMELO
"0663 PEP BRITS SPOORWEG STREET VLAKVARKGAT BUILDING, CNR SPOORWEG STREET & MURRAY STREET BRITS BRITS NORTH WEST",0663,PEP BRITS
"0671 PEP ODENDAALSRUS SHOP, CNR WATERKANT STREET WESSEL STREET ODENDAALSRUS ODENDAALSRUS FREE STATE",0671,PEP ODENDAALSRUS
"0674 PEP PTA QUAGGA CENTRE SHOPS 41-43 QUAGGA CENTRE, CNR CHURCH STREET COURT STREET PRETORIA PRETORIA GAUTENG",0674,PEP PTA
"0680 PEP VIRGINIA MARKET STREET SHOP 1 CHECKERS CENTRE, CNR MARKET STREET EXCHANGE STREET VIRGINIA VIRGINIA FREE STATE",0680,PEP VIRGINIA
"0681 PEP LOUIS TRICHARDT THE GROVE SHOP 5 THE GROOVE, C/O SONGOZWI MUNNICK & ANDERSON STR LOUIS TRICHARDT LOUIS TRICHARDT LIMPOPO",0681,PEP LOUIS
"0682 PEP KROONSTAD REITZ STREET SHOP, 21 REITZ STREET KROONSTAD KROONSTAD FREE STATE",0682,PEP KROONSTAD
"0688 PEP ERMELO NAUDE STREET SHOP 1, CORNER DE JAGER STREET NAUDE STREET ERMELO ERMELO MPUMALANGA",0688,PEP ERMELO
"0689 PEP MIDDELBURG (MP) O.R TAMBO DE KOCK BUILDING, C/O O.R TAMBO STREET BHIMY DAMANE STREET MIDDELBURG MIDDELBURG MPUMALANGA",0689,PEP MIDDELBURG
"0690 PEP THABANCHU MAIN STR SHOP S9&10 CORNERSTONE BUILDING, 2 MAIN STREET THABA NCHU THABA NCHU FREE STATE",0690,PEP THABANCHU
"0693 PEP MTHATHA OWEN STREET SHOP 2 MUNIPATA BUILDING, CORNER SUTHERLAND STREET OWEN STREET MTHATHA MTHATHA EASTERN CAPE",0693,PEP MTHATHA
"0695 PEP MTHATHA MADEIRA STREET SHOP 3, 35 MADEIRA STREET MTHATHA MTHATHA EASTERN CAPE",0695,PEP MTHATHA
"0704 PEP EERSTE RIVER CITY CENTRE SHOP 22A/B/F EERSTE RIVER CITY CENTRE, FOREST DRIVE EERSTE RIVER EERSTE RIVER WESTERN CAPE",0704,PEP EERSTE
"0721 PEP EERSTE RIVER MALL SHOP 29-30 EERSTE RIVER MALL, C/O PLEIN STREET & VAN RIEBEECK ROAD EERSTE RIVER EERSTE RIVER WESTERN CAPE",0721,PEP EERSTE
"0727 PEP ATLANTIS WESFLEUR SHOP 2 WESFLEUR TOWN CENTRE, 24 WESFLEUR CIRCLE ATLANTIS ATLANTIS WESTERN CAPE",0727,PEP ATLANTIS
"0730 PEP MITCHELLS PLAIN TOWN CTR SHOP, 23 SYMPHONY WALK MITCHELLS PLAIN MITCHELLS PLAIN WESTERN CAPE",0730,PEP MITCHELLS
"0742 PEP TSOLO SHOP 2 BOXER CENTRE, MAIN ROAD TSOLO TSOLO EASTERN CAPE",0742,PEP TSOLO
"0743 PEP MATATIELE MARKET STREET SHOP 8 ELLERINES MATATIELE, 47 MARKET STREET MATATIELE MATATIELE EASTERN CAPE",0743,PEP MATATIELE
"0772 PEP NEWCASTLE ALLEN STREET SHOP, 16 ALLEN STREET NEWCASTLE NEWCASTLE KWAZULU-NATAL",0772,PEP NEWCASTLE
"0774 PEP MAFIKENG 34 STATION ROAD SHOP 1 THE STATE WAY BUILDING, 34 STATION ROAD MAFIKENG MAFIKENG NORTH WEST",0774,PEP MAFIKENG
"0778 PEP STANGER HULLETT STREET SHOP 61 , 61 HULLETT STREET STANGER STANGER KWAZULU-NATAL",0778,PEP STANGER
"0779 PEP PMB RETIEF STREET SHOP, 128 RETIEF STREET PIETERMARITZBURG PIETERMARITZBURG KWAZULU-NATAL",0779,PEP PMB
"0781 PEP GEORGE 54 HIBERNIA STREET SHOP, 54 HIBERNIA STREET GEORGE GEORGE WESTERN CAPE",0781,PEP GEORGE
"0785 PEP MATATIELE SHOPPING CENTRE SHOP 14 RHINO PLAZA, STATION ROAD MATATIELE MATATIELE EASTERN CAPE",0785,PEP MATATIELE
"0786 PEP GEORGE SANDKRAAL RD SHOP, NELSON MANDELA BOULEVARD BORCHARDS GEORGE WESTERN CAPE",0786,PEP GEORGE
"0787 PEP GERMISTON RAILWAY STR SHOP 13-14 STATION BAZAAR , RAILWAY STREET GERMISTON GERMISTON GAUTENG",0787,PEP GERMISTON
"0792 PEP HAMMARSDALE JUNCTION SHOP A27, HAMMARSDALE JUNCTION, KUNENE ROAD HAMMARSDALE HAMMARSDALE KWAZULU-NATAL",0792,PEP HAMMARSDALE
"0913 PEP NONGOMA ISIZWE CENTRE SHOP 1 ISIZWE SHOPPING CENTRE, MAIN ROAD NONGOMA NONGOMA KWAZULU-NATAL",0913,PEP NONGOMA
"0914 PEP THOHOYANDOU SIBASA SPAR SHOP 29 SIBASA SPAR CENTRE, POST OFFICE STREET SIBASA THOHOYANDOU LIMPOPO",0914,PEP THOHOYANDOU
